역명,날짜,구분,05~06시,06~07시,07~08시,08~09시,09~10시,10~11시,11~12시,12~13시,13~14시,14~15시,15~16시,16~17시,17~18시,18~19시,19~20시,20~21시,21~22시,22~23시,23~24시,00~01시,01~02시
서울역(150),2017-04-01,승차,493,513,654,"1,517","2,104","2,522","3,440","3,901","3,800","3,332","4,773","4,835","5,653","4,178","3,189","2,640","2,947","2,441",927,43,0
서울역(150),2017-04-01,하차,385,"2,074","1,923","2,511","3,377","3,021","3,006","3,704","3,563","3,487","3,564","3,813","3,665","3,571","3,006","2,137","2,029","1,473",838,278,0
서울역(150),2017-04-02,승차,342,340,413,944,"1,533","1,734","2,553","2,710","2,796","2,303","3,001","3,525","3,668","3,154","2,879","2,572","3,038","2,665",965,86,0
서울역(150),2017-04-02,하차,197,"1,229","1,119","1,369","1,958","1,996","1,926","2,382","2,407","2,751","2,831","3,068","3,190","2,721","2,713","1,994","1,629","1,397",640,138,0
서울역(150),2017-04-03,승차,467,603,"2,137","3,296","2,121","2,094","2,626","2,883","2,752","2,399","3,004","3,225","4,466","8,952","5,342","3,376","3,402","2,235","1,174",148,0
서울역(150),2017-04-03,하차,376,"2,566","5,344","10,582","5,197","2,622","2,374","2,365","2,389","2,287","2,261","2,415","2,621","3,149","2,579","1,695","1,503","1,277",708,240,17
서울역(150),2017-04-04,승차,443,573,"1,611","2,916","2,048","2,100","2,516","2,721","2,727","2,462","3,153","3,163","4,702","8,955","5,217","3,529","3,499","2,169","1,166",150,0
서울역(150),2017-04-04,하차,324,"2,015","4,937","10,254","5,196","2,710","2,404","2,427","2,344","2,267","2,399","2,514","2,772","3,252","2,489","1,688","1,538","1,415",722,272,17
서울역(150),2017-04-05,승차,415,572,"1,685","2,953","2,072","2,090","2,394","2,763","2,664","2,304","3,144","3,385","4,991","9,684","5,019","3,399","3,595","2,073","1,322",284,0
서울역(150),2017-04-05,하차,296,"2,015","4,450","10,375","5,615","2,491","2,284","2,262","2,312","2,375","2,525","2,598","2,799","3,588","2,397","1,634","1,510","1,272",787,266,16
서울역(150),2017-04-06,승차,378,545,"1,595","2,965","2,034","2,088","2,538","2,847","2,872","2,475","3,295","3,607","4,797","9,027","5,178","3,294","3,713","2,262","1,189",242,1
서울역(150),2017-04-06,하차,308,"2,021","4,572","10,241","5,602","2,809","2,301","2,379","2,396","2,175","2,508","2,629","2,883","3,363","2,554","1,676","1,619","1,619",790,290,28
서울역(150),2017-04-07,승차,475,580,"1,633","2,772","2,422","2,030","2,852","3,155","3,107","2,844","3,715","4,131","5,827","9,828","5,810","3,730","4,050","3,317","1,454",381,0
서울역(150),2017-04-07,하차,327,"2,003","4,444","9,959","5,496","2,847","2,463","2,679","2,873","2,721","2,945","3,277","3,680","4,782","4,060","2,242","2,180","1,761",954,446,39
서울역(150),2017-04-08,승차,480,532,717,"1,637","2,417","2,422","3,591","4,150","3,783","3,715","4,317","5,100","5,330","4,460","3,106","2,906","2,958","2,573","1,074",51,0
서울역(150),2017-04-08,하차,423,"2,510","2,158","2,867","3,735","3,213","3,401","3,911","3,740","3,642","3,674","3,864","4,480","3,610","3,219","2,353","2,295","1,641","1,063",249,0
서울역(150),2017-04-09,승차,335,352,449,997,"1,573","1,939","2,508","2,716","2,809","2,368","3,172","3,363","3,673","3,030","2,703","2,554","2,612","2,143",516,72,0
서울역(150),2017-04-09,하차,170,"1,303","1,226","1,433","1,914","2,011","1,966","2,454","2,550","2,516","3,013","2,913","3,226","2,831","2,684","1,907","1,755","1,162",586,116,0
서울역(150),2017-04-10,승차,539,653,"2,019","3,321","2,087","2,286","2,585","2,875","2,792","2,392","3,197","3,226","4,388","9,071","5,319","3,658","3,398","2,191","1,114",174,1
서울역(150),2017-04-10,하차,393,"2,619","5,371","10,397","5,353","2,823","2,509","2,408","2,413","2,347","2,425","2,413","2,862","2,990","2,699","1,701","1,588","1,231",653,226,12
서울역(150),2017-04-11,승차,455,598,"1,673","2,909","2,091","2,073","2,577","2,719","2,819","2,461","3,083","3,376","4,771","9,156","5,225","3,510","3,405","2,191","1,124",214,0
서울역(150),2017-04-11,하차,286,"2,156","4,912","10,337","5,367","2,593","2,278","2,702","2,385","2,289","2,503","2,299","2,961","3,269","2,516","1,786","1,626","1,382",711,258,7
서울역(150),2017-04-12,승차,443,573,"1,673","2,934","2,009","2,058","2,572","2,808","2,784","2,438","3,108","3,234","5,253","9,641","4,949","3,063","3,358","2,123","1,082",182,0
서울역(150),2017-04-12,하차,297,"2,016","4,911","10,383","5,235","2,416","2,431","2,304","2,557","2,348","2,371","2,555","2,912","3,478","2,413","1,850","1,640","1,441",755,283,30
서울역(150),2017-04-13,승차,459,566,"1,684","2,793","2,050","2,046","2,667","2,908","2,856","2,552","3,146","3,319","4,961","9,049","5,200","3,417","3,712","2,350","1,224",192,0
서울역(150),2017-04-13,하차,332,"2,075","4,812","10,455","5,643","2,676","2,540","2,509","2,571","2,266","2,424","2,631","2,977","3,433","2,506","1,713","1,759","1,429",787,316,18
서울역(150),2017-04-14,승차,411,531,"1,629","2,719","2,112","2,117","2,690","3,094","3,316","2,745","3,958","4,677","5,938","10,049","5,639","3,570","3,755","3,255","1,450",269,0
서울역(150),2017-04-14,하차,308,"1,768","4,229","9,754","5,543","2,741","2,469","3,008","3,220","2,856","2,851","3,217","3,709","4,696","3,769","2,200","2,134","1,625",976,400,40
서울역(150),2017-04-15,승차,496,473,751,"1,621","2,317","2,289","3,459","4,099","3,765","3,371","4,157","4,329","5,529","4,123","3,046","2,860","2,956","2,341",979,54,0
서울역(150),2017-04-15,하차,306,"2,004","2,107","2,491","3,523","3,133","3,003","3,667","3,444","3,472","3,706","3,892","4,055","3,410","2,793","2,160","2,026","1,848","1,059",318,0
서울역(150),2017-04-16,승차,344,393,490,916,"1,455","1,910","2,346","2,732","2,742","2,324","3,411","3,645","3,723","3,083","2,734","2,485","3,071","2,268",751,54,0
서울역(150),2017-04-16,하차,188,"1,187","1,222","1,568","2,007","2,237","2,327","2,466","2,790","3,128","3,051","3,172","3,096","2,754","2,754","1,923","1,743","1,181",737,148,0
서울역(150),2017-04-17,승차,431,654,"2,044","3,047","2,088","2,110","2,659","2,925","2,541","2,309","3,242","3,079","4,643","9,017","4,962","3,070","2,922","1,983",946,150,0
서울역(150),2017-04-17,하차,395,"2,530","5,294","10,210","5,390","2,584","2,361","2,282","2,406","2,205","2,153","2,208","2,557","2,863","2,388","1,567","1,495","1,230",580,227,9
서울역(150),2017-04-18,승차,446,572,"1,681","2,858","2,097","2,116","2,484","2,872","2,735","2,429","3,117","3,228","4,524","9,195","5,156","3,154","3,286","2,066","1,025",132,0
서울역(150),2017-04-18,하차,336,"2,092","4,816","10,609","5,248","2,517","2,359","2,315","2,595","2,266","2,561","2,392","2,416","3,147","2,351","1,566","1,499","1,347",650,250,10
서울역(150),2017-04-19,승차,447,532,"1,657","2,751","2,030","2,049","2,562","2,800","2,637","2,299","2,877","3,319","5,176","9,418","4,963","3,095","3,333","2,182",977,154,0
서울역(150),2017-04-19,하차,287,"1,976","4,819","10,429","5,334","2,549","2,286","2,356","2,408","2,315","2,374","2,492","2,826","3,340","2,512","1,735","1,526","1,457",674,278,22
서울역(150),2017-04-20,승차,444,549,"1,647","2,685","1,971","2,121","2,601","2,771","2,793","2,549","3,082","3,390","4,616","9,026","5,254","3,444","3,466","2,153","1,144",198,0
서울역(150),2017-04-20,하차,287,"2,105","4,788","10,395","5,391","2,693","2,374","2,259","2,407","2,265","2,363","2,527","2,724","3,286","2,461","1,703","1,626","1,356",788,285,26
서울역(150),2017-04-21,승차,443,589,"1,546","2,660","2,130","2,152","2,637","2,754","3,164","2,920","3,592","4,130","5,615","9,878","5,643","3,704","3,842","3,216","1,520",252,2
서울역(150),2017-04-21,하차,334,"1,971","4,732","10,093","5,736","2,747","2,461","2,600","2,635","2,833","2,916","3,112","3,628","4,452","3,907","2,102","1,927","1,636",983,381,46
서울역(150),2017-04-22,승차,439,515,714,"1,597","2,130","2,530","3,349","3,861","4,286","4,517","7,705","4,984","4,281","3,466","2,975","2,674","2,723","2,198",927,47,0
서울역(150),2017-04-22,하차,388,"2,563","2,210","2,618","3,664","2,821","3,278","4,442","5,958","4,432","3,999","3,463","3,608","2,984","2,577","2,077","1,901","1,445",957,302,0
서울역(150),2017-04-23,승차,355,321,484,"1,002","1,446","1,996","2,521","2,712","2,564","2,112","3,008","3,005","3,551","2,910","2,767","2,379","2,602","1,967",481,29,0
서울역(150),2017-04-23,하차,168,"1,226","1,111","1,430","1,796","1,961","1,813","2,320","2,472","2,542","2,735","2,549","2,978","2,491","2,562","1,808","1,692","1,026",491,113,0
서울역(150),2017-04-24,승차,515,607,"1,963","3,030","2,020","2,031","2,549","2,850","2,687","2,356","2,846","3,116","4,429","8,979","5,199","3,278","3,245","1,992",952,139,0
서울역(150),2017-04-24,하차,371,"2,713","5,369","10,234","5,362","2,503","2,299","2,624","2,294","2,358","2,334","2,375","2,783","2,914","2,322","1,668","1,408","1,088",596,248,5
서울역(150),2017-04-25,승차,420,541,"1,661","2,722","1,914","1,957","2,411","2,745","2,768","2,446","2,814","3,118","4,345","8,911","5,067","3,117","3,017","2,044",913,121,0
서울역(150),2017-04-25,하차,303,"2,093","4,844","10,513","5,173","2,684","2,325","2,471","2,248","2,285","2,391","2,394","2,489","3,087","2,237","1,611","1,369","1,282",631,254,14
